name,stationID,聚类簇号,站点类型,日均总客流,周末比,早高峰进站占比,晚高峰进站占比,早高峰出站占比
Yili Road,1047,3,通勤居住站,55326.81704980843,0.4182480197238461,0.050765183614984014,0.1549816121712492,0.17632941368801802
Songyuan Road,1048,3,通勤居住站,46639.16283524904,0.5251582125830844,0.09973025157872847,0.1071556999274741,0.12269532662482542
Shanghai Library,1051,3,通勤居住站,44605.60440613027,0.8620090700880618,0.06033226743046847,0.09850700352635643,0.1193196565289556
Yuyuan Garden,1055,0,就业办公站,114547.48946360152,0.9211796747895382,0.04368739301999039,0.12404056669067481,0.14142638298746132
North Sichuan Road,1058,3,通勤居住站,70187.13601532567,0.43793448852609623,0.056810735532318246,0.13915195762461494,0.16274116207015318
Youdian Xincun,1060,3,通勤居住站,44901.83716475096,0.6729791426127494,0.14405106135845167,0.06357710762026292,0.08895375388326435
Tongji University,1062,3,通勤居住站,58723.80363984674,0.7563077095666776,0.11528089476368555,0.08547839156663205,0.10560874448950575
Guoquan Road,1063,3,通勤居住站,53923.57183908046,0.6795312807661326,0.13755203043869207,0.07242470188286562,0.09636919321231635
Wujiaochang,1064,0,就业办公站,84717.97892720306,0.9756361152129858,0.09376942512840408,0.08190177372683875,0.09062061737933423
Jiangwan Stadium,1065,0,就业办公站,94336.44061302682,0.7933473600365112,0.10117736936307294,0.08938577727331917,0.10238253226815286
Sanmen Road,1066,2,休闲商圈站,19177.898467432948,0.4465565817852466,0.11332113967297738,0.10794573879047216,0.13873733662895885
East Yingao Road,1067,1,郊区低频站点,15155.920498084291,0.5821287470462789,0.16840668075930768,0.0567725534746637,0.09417726413539787
New Jiangwan City,1068,2,休闲商圈站,37876.50478927203,0.6542382945583887,0.16519925926888923,0.05362755594458939,0.08160861635717029
Huaqiao,1114,3,通勤居住站,44339.066091954024,0.92771708250232,0.157052169705032,0.0340373331125605,0.04875828421038035
Guangming Road,1115,2,休闲商圈站,19878.897509578543,0.9067708953501534,0.14841661954004537,0.043337468783190405,0.0520204522107022
Zhaofeng Road,1116,2,休闲商圈站,32516.1561302682,0.8602788494776601,0.155110853716208,0.04210015095861725,0.05021069858362676
Anting,1117,3,通勤居住站,46262.958812260535,0.9269062310943995,0.11167144086701858,0.06706845013743161,0.06730572884958706
Shanghai Automobile City,1118,2,休闲商圈站,17482.25,0.6279721256518499,0.10255254073620004,0.08523853986982967,0.08561571723606812
East Changji Road,1119,1,郊区低频站点,12930.735632183907,0.7034143268783795,0.1508463525945563,0.052836669644783646,0.04474943455757484
Shanghai Circuit,1120,1,郊区低频站点,12581.199233716474,1.1893125689224562,0.11299992630721782,0.0654259966943316,0.07271499857875784
North Jiading,1131,3,通勤居住站,71647.32950191571,0.8273859588586959,0.12560529753856298,0.05597546795065349,0.07088126378440604
West Jiading,1132,3,通勤居住站,44833.513409961684,0.7579654225372321,0.15666214029832257,0.04551504883289117,0.04617641147848482
Baiyin Road,1133,2,休闲商圈站,33449.94157088122,0.6487484677128617,0.16738737785341634,0.042319500406979085,0.05006137584722009
Jiading New City,1134,3,通勤居住站,54760.40900383142,0.6631137273383136,0.15902204349099602,0.0535145601238562,0.06010801146328725
Malu,1135,3,通勤居住站,42313.39942528736,0.724767318463892,0.18368231628621778,0.039054794584215215,0.04209237938978383
Nanxiang,1137,0,就业办公站,111467.09003831417,0.6885106689965667,0.16416758819645985,0.0500094997739694,0.059213648594796026
Taopu Xincun,1138,3,通勤居住站,65061.52107279694,0.7174045180502341,0.1827022262289239,0.036697067588208336,0.04648426113740272
Wuwei Road,1139,1,郊区低频站点,6808.156130268199,0.6281545040389379,0.09331433657252694,0.09429861530286128,0.09611853398657343
Qilianshan Road,1140,3,通勤居住站,47395.75,0.6331535784431963,0.11148073545069673,0.09241573634541327,0.10389261121726995
Liziyuan,1141,3,通勤居住站,59941.38409961686,0.6835564935728774,0.1504373474001872,0.06049864340380666,0.07176985702132432
Shanghai West Railway Station,1142,3,通勤居住站,70534.25287356321,0.6776459678407082,0.16913807806156014,0.04766888757953757,0.061637938095628675
